ATMOSFERA,ANODO,TIEMPO,ALTURA,AGITACION,H2SO4,NaOH,CaCO3,CARBON,COBRE,YH2,YCO2,YO2,YCO,YCH4,mmol_gas_abs,kpa_dpmax,n_EtOH,n_gluc,SEI_kj-mol,n_FUEL(%)
CO2,PLATINO,60,0.7,0,0.215,0,0.39,1,0,0.0869755,0.76390811,0.02682592,0.07892502,0.041960338,4.579,11.48,0,5.71E-06,3080.278682,5.28094583
ARGON,HIERRO,20,0.2,1250,0.215,0.646,0,0,0.5,0.042335273,0.00283729,0.08615471,0.00015744,0,2.069,-0.8987,0,1.43E-05,770.5739209,0
CO2,HIERRO,20,0.7,1250,0.43,0,0,0.5,0,0.095992064,0.78006777,0.01421247,0.06204532,0,4.6712,11.85,0,1.21E-05,1136.58077,5.322835873
ARGON,PLATINO,60,0.2,1250,0.43,0.323,0,1,0,0.03317529,0.05738969,0.02593087,0.00529413,0.0005688,0.5835,3.97,0,1.50E-05,9831.226923,0.137056076
ARGON,HIERRO,20,0.2,1250,0.215,0.646,0,0,0.5,0.02046334,0,0.03210796,0.0021649,0,0.586,-1.9889,0,1.21E-05,6100.594488,0
ARGON,PLATINO,20,0.7,625,0.43,0.646,0.39,0,0,0.07379041,0.03043464,0.01760054,0.00598219,0.00038318,0.778,2.4956,0,1.64E-05,1993.969865,3.350833306
CO2,HIERRO,20,0.7,0,0,0.323,0.39,0,0.5,0.08858931,0.76114342,0.04754564,0.05762993,0.00015598,10.43,10.84,0,7.14E-06,1411.237121,38.38317809
CO2,PLATINO,20,0.2,1250,0,0.646,0.39,1,0,0.03043655,0.57583288,0.0709553,0.04089518,0.00520624,16.35,5.32,0.000491643,7.85E-06,1940.474099,1.348697249
ARGON,HIERRO,60,0.7,1250,0.43,0.646,0.39,1,0.5,0.04485046,0.0818701,0.00746758,0.0158693,0.00609074,0.9643,4.92,6.32E-05,1.50E-05,6617.220971,0.508476352
CO2,PLATINO,20,0.2,1250,0,0.646,0.39,1,0,0.0036415,0.50047307,0.07855623,0,0.00002831,14.706,-0.9911,0,7.14E-06,7491.342064,0.001236739
ARGON,PLATINO,20,0.7,1250,0,0,0.195,1,0.5,0,0.01349371,0.07803,0,0.00001079,0.3954,2.917,0,7.85E-06,300000,0.000243524
CO2,PLATINO,20,0.2,0,0,0,0,0,0,0.01862969,0.94630945,0.01496551,0.00667204,0,4.3299,7.0535,0,1.28E-05,5355.78408,27.3024603
CO2,PLATINO,20,0.2,0,0,0,0,0,0,0.00273167,0.92904213,0.00859177,0,0.0020852,3.4513,5.1905,0,1.07E-05,23636.93265,9.050787535
CO2,HIERRO,20,0.7,0,0,0.323,0.39,0,0.5,0.00928781,0.81309162,0.04411719,0.05834174,0.00007264,10.35,11.6754,0,1.78E-05,3026.151519,39.10903774
CO2,HIERRO,60,0.2,0,0.43,0.646,0.195,0,0,0.02120935,0.87197752,0.00128543,0.0747149,0,3.36,13.6,0,1.07E-05,4180.466602,96.89973478
CO2,HIERRO,40,0.45,625,0.215,0.323,0.195,0.5,0.25,0.0142143,0.80065394,0.02880968,0.05689102,0.00183572,4.2797,14.4096,0,1.64E-05,4549.908862,5.133589192
ARGON,HIERRO,40,0.7,0,0,0.646,0,1,0,0.0085977,0.00165599,0.02887267,0.00240087,0.00007718,0.7976,-1.5229,2.54E-05,4.35E-05,29716.03722,0.057273871
CO2,HIERRO,60,0.2,625,0,0,0,1,0.5,0.00674424,0.94198216,0.00176598,0.041253474,0,3.674,5.3979,0,1.28E-05,6036.347991,1.696175743
CO2,PLATINO,40,0.2,1250,0.43,0,0.39,0,0.5,0.00974792,0.84950943,0.07001918,0.06212568,0,2.2918,14.1599,0,7.14E-06,3792.21883,52.45578442
ARGON,PLATINO,20,0.7,625,0.43,0.646,0.39,0,0,0.00339292,0.03329136,0.00691938,0,0,0.2586,4.4492,0,1.21E-05,46989.87748,0
ARGON,PLATINO,60,0.2,0,0,0.646,0.39,0.5,0.5,0.00712496,0.00135827,0.11915417,0,0,0.3088,-5.7115,0,7.85E-06,13814.9985,0
ARGON,PLATINO,60,0.2,0,0,0.646,0.39,0.5,0.5,0.00072467,0,0.00046922,0.00088163,0,0.3005,-5.9946,0,1.64E-05,167368.7059,0.036101876
ARGON,HIERRO,20,0.2,0,0.43,0,0.39,1,0.25,0.01735317,0.09381745,0.0693672,0.00460242,0.0000023,0.0041,2.3457,0,4.57E-05,1389.806298,0.107761277
CO2,HIERRO,60,0.2,0,0.43,0.646,0.195,0,0,0.04638966,0.86621042,0.04012063,0.03829874,9.39E-08,0.9172,1.3239,0,0,3359.392367,47.60783604
CO2,PLATINO,20,0.2,1250,0,0.646,0.39,1,0,0.01194901,0.4834084,0.10531175,0.00112873,0,14.29,-0.4283,3.44E-05,2.85E-06,4241.717202,0.028768934
ARGON,HIERRO,40,0.7,0,0,0.646,0,1,0,0.01074439,0,0.02096119,0.0017281,0.00000122,0.5742,-4.5117,3.72E-05,3.57E-06,23457.64901,0.039069267
ARGON,HIERRO,60,0.45,1250,0,0,0.39,0,0,0.01220758,0.0029251,0.00802678,0.00278651,0,0.5174,3.1351,4.30E-05,9.99E-06,21588.11882,1.389512555
CO2,HIERRO,60,0.2,625,0,0,0,1,0.5,0.06645101,0.875598445,0.00565274,0.04527844,0,3.2724,8.7435,0,2.85E-06,3106.870806,1.949914377
CO2,HIERRO,40,0.45,625,0.215,0.323,0.195,0.5,0.25,0.089211747,0.78113162,0.02632065,0.073063389,0.0000048,3.727,14.712,1.95E-05,1.21E-05,2121.951674,6.003146469
CO2,PLATINO,40,0.2,1250,0.43,0,0.39,0,0.5,0.08462548,0.79822085,0.03454886,0.06621435,0.00000046,2.2847,14.7751,0,7.14E-06,404.4096672,56.50368011
CO2,PLATINO,40,0.2,1250,0.43,0,0.39,0,0.5,0.06969351,0.81355182,0.04598176,0.0626546,0,2.6196,12.4193,5.21E-05,2.14E-06,1548.644375,53.60054747
CO2,PLATINO,20,0.2,1250,0,0.646,0.39,1,0,0.03435099,0.481255,0.09379824,0.01333951,0.00000269,14.3818,1.6652,0.000238007,0,590.9899126,0.343507055
ARGON,HIERRO,20,0.2,1250,0.215,0.646,0,0,0.5,0.00652351,0,0.06586104,0.00148278,0.00010918,0.8481,-1.5167,0,1.64E-05,10813.00204,0
CO2,HIERRO,20,0.7,1250,0.43,0,0,0.5,0,0.06594307,0.83978414,0.01526774,0.06557605,0,3.8823,14.6247,0,6.42E-06,1343.744823,5.717862893
ARGON,HIERRO,60,0.7,0,0.43,0,0,0,0.5,0.03243344,0.01688325,0.00300353,0.01170504,0.00000712,0.2286,-3.8496,0,0,11141.3917,0
CO2,HIERRO,60,0.2,0,0.43,0.646,0.195,0,0,0.0882877,0.81575515,0.01119937,0.0825679,0.0000066,2.1278,12.6497,0,0,611.990369,104.0484689
ARGON,PLATINO,40,0.45,625,0.215,0.323,0.195,0.5,0.25,0.01363569,0.05305903,0.0341275,0.00658582,0.0000185,0.3241,-4.4014,0,2.28E-05,10563.14041,0.297477689
